Conference Booking,Réservation de conférence
billed,facturée
Pricing Rule,Règle de tarification
Rule Name,Nom de la règle
Rule Type,Type de règle
season,saison
holiday,jour férié
day_of_week,jour de la semaine
lead_time,délai de réservation
occupancy,occupation
Start Date,Date de début
End Date,Date de fin
Days of Week,Jours de la semaine
Lead Time Days (min),Délai en jours (min)
Lead Time Days (max),Délai en jours (max)
Occupancy Threshold,Seuil d'occupation
Adjustment Type,Type d'ajustement
percentage,pourcentage
fixed_amount,montant fixe
Adjustment Value,Valeur de l'ajustement
Rate Calendar,Calendrier tarifaire
Date,Date
Price (minor units),Prix (unités mineures)
Rooms Available,Chambres disponibles
Plan Name,Nom du plan
Refundable,Remboursable
Free Cancellation Until (hours before check-in),Annulation gratuite jusqu'à (heures avant l'arrivée)
Includes Breakfast,Petit-déjeuner inclus
Base Price (minor units),Prix de base (unités mineures)
Room Number,Numéro de chambre
Floor,Étage
available,disponible
occupied,occupée
dirty,sale
clean,propre
maintenance,maintenance
out_of_order,hors service
Amenities,Équipements
Room Type Name,Nom du type de chambre
Max Occupancy Adults,Occupation max. (adultes)
Max Occupancy Children,Occupation max. (enfants)
Bed Configuration,Configuration des lits
Size (sqm),Superficie (m²)
Amenities (raw),Équipements (brut)
Photos,Photos
Photos (URLs),Photos (URLs)
Cover Image,Image de couverture
Room Type Amenity,Équipement du type de chambre
Amenity,Équipement
Room Type Photo,Photo du type de chambre
Image,Image
Caption,Légende
Idempotency Record,Enregistrement d'idempotence
Request Body Hash,Hachage du corps de la requête
Response Body,Corps de la réponse
Response Status,Statut de la réponse
Sync Config,Configuration de synchronisation
Hotel Slug,Identifiant de l'hôtel
Aggregator Base URL,URL de base de l'agrégateur
Aggregator Webhook Secret,Secret webhook de l'agrégateur
Aggregator API Key,Clé API de l'agrégateur
Hold TTL (seconds),Durée du blocage (secondes)
Last Reconciliation At,Dernière réconciliation le
Webhook Outbox,File d'attente des webhooks
Event ID,ID de l'événement
Event Type,Type d'événement
Payload,Charge utile
sent,envoyé
failed,échoué
Attempts,Tentatives
Next Attempt At,Prochaine tentative le
Hotel Management,Gestion hôtelière
Revenue Management,Gestion des revenus
Sync,Synchronisation
Analytics,Analytique
Reservations,Réservations
Reception Reports,Rapports de réception
Real-time arrivals/departures views for the front desk (FR-A7).,Vues en temps réel des arrivées/départs pour la réception (FR-A7).
Core property/inventory setup.,Configuration de base de la propriété/inventaire.
Rates & Inventory,Tarifs et inventaire
ADR/RevPAR and occupancy reporting (FR-A16).,Rapports ADR/RevPAR et taux d'occupation (FR-A16).
Housekeeping Task Board,Tableau des tâches de ménage
Maintenance Request Board,Tableau des demandes de maintenance
Staff App,Application du personnel
Guest Booking Portal,Portail de réservation client
Enable/disable the public guest booking portal (/book) and its closed-notice text.,Activer/désactiver le portail public de réservation client (/book) et son message de fermeture.
ADR and RevPAR,ADR et RevPAR
Arrivals Not Checked In,Arrivées non enregistrées
Hotel Occupancy,Taux d'occupation de l'hôtel
Late Checkouts,Départs tardifs
Today's Arrivals,Arrivées du jour
Today's Departures,Départs du jour
Arrivals Today,Arrivées aujourd'hui
Departures Today,Départs aujourd'hui
Open Maintenance Requests,Demandes de maintenance ouvertes
Pending Housekeeping Tasks,Tâches de ménage en attente
Occupancy Trend,Tendance d'occupation
payment,paiement
cash,espèces
mobile_money,mobile money
bank_transfer,virement bancaire
card,carte
Payment Method,Méthode de paiement
Repair Cost (minor units),Coût de réparation (unités mineures)
Due By,Date d'échéance
